soil_moisture,temperature,humidity,rain_forecast,pump_status
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
60,22,80,1,0
35,32,55,0,1
40,23,40,0,1
43,32,70,1,0
50,22,55,0,1
55,34,65,1,0
45,34,66,0,1
20,27,76,1,0
25,30,65,0,1
45,25,70,1,0
30,28,60,0,1
